gender,category,preferred_stream,entrance_exam,entrance_score,board_percentage,scholarship_eligibility,admission_status
other,general,medical,neet,430,55.66,no,admitted
male,sc,computer applications,none,0,93.93,no,rejected
male,obc,pharmacy,cet,45,62.52,no,rejected
female,general,computer applications,cet,51,71.69,no,rejected
male,ews,pharmacy,cet,157,93.76,yes,admitted
other,sc,computer applications,none,0,66.03,yes,admitted
female,st,architecture,none,0,70.82,no,rejected
female,st,management,none,0,51.44,no,rejected
female,obc,arts,cet,92,53.82,no,rejected
male,obc,agriculture,cet,105,83.0,no,rejected
female,ews,commerce,none,0,97.26,yes,admitted
other,ews,management,none,0,56.08,no,rejected
female,sc,commerce,none,0,95.49,yes,admitted
female,sc,computer applications,none,0,55.68,no,rejected
female,general,agriculture,cet,95,94.12,yes,admitted
female,obc,science,cet,119,94.43,no,rejected
other,general,architecture,cet,191,51.53,yes,admitted
other,ews,pharmacy,none,0,67.32,no,rejected
female,ews,arts,none,0,60.75,no,rejected
other,general,commerce,none,0,99.17,no,rejected
male,obc,architecture,cet,132,64.77,no,rejected
male,obc,computer applications,none,0,77.43,no,rejected
male,ews,arts,none,0,71.19,no,rejected
other,sc,arts,cet,51,76.28,no,rejected
female,general,agriculture,cet,102,83.75,no,admitted
female,sc,computer applications,none,0,67.97,yes,admitted
male,general,management,none,0,94.81,yes,admitted
female,st,architecture,cet,164,61.55,no,rejected
male,ews,medical,neet,634,93.19,yes,admitted
female,general,medical,neet,525,78.2,no,rejected
female,ews,engineering,jee,141,96.28,yes,admitted
other,st,commerce,cet,109,91.92,yes,admitted
other,general,engineering,jee,230,87.77,yes,admitted
male,obc,law,none,0,66.86,no,rejected
other,general,engineering,jee,212,60.95,no,rejected
female,ews,nursing,cet,109,95.24,no,rejected
female,st,law,cet,71,57.43,no,rejected
female,obc,engineering,cet,136,51.43,no,rejected
male,sc,science,none,0,91.9,no,rejected
male,obc,science,none,0,90.94,yes,admitted
female,sc,management,none,0,95.87,yes,admitted
other,st,computer applications,none,0,87.2,yes,admitted
female,general,law,none,0,91.91,yes,admitted
female,st,management,none,0,56.46,no,rejected
other,ews,medical,neet,453,80.42,no,admitted
other,ews,commerce,none,0,95.76,no,rejected
female,general,engineering,cet,131,95.22,yes,admitted
male,sc,arts,none,0,94.93,no,rejected
other,obc,engineering,jee,43,85.59,no,rejected
other,st,computer applications,none,0,68.23,no,rejected
other,obc,pharmacy,cet,195,59.68,no,rejected
other,obc,computer applications,none,0,53.96,no,rejected
female,general,architecture,cet,157,54.84,yes,admitted
male,sc,engineering,jee,232,57.89,no,admitted
male,sc,arts,none,0,78.14,no,rejected
other,sc,engineering,jee,100,51.48,no,rejected
female,obc,engineering,cet,4,58.8,no,admitted
female,st,nursing,cet,197,67.88,yes,admitted
female,st,nursing,cet,103,82.17,no,admitted
other,general,medical,neet,312,92.65,no,rejected
female,obc,arts,none,0,70.4,no,rejected
male,st,commerce,cet,34,67.56,no,rejected
other,general,law,none,0,75.94,no,admitted
female,obc,architecture,none,0,79.81,no,rejected
male,ews,arts,none,0,67.92,no,rejected
male,sc,computer applications,none,0,82.29,no,rejected
female,sc,engineering,jee,279,69.99,no,admitted
other,st,architecture,cet,103,59.78,no,rejected
male,obc,management,none,0,92.35,yes,admitted
male,ews,pharmacy,cet,51,60.35,yes,admitted
male,general,architecture,cet,59,89.52,no,rejected
male,sc,architecture,cet,58,79.32,no,admitted
female,sc,medical,neet,430,87.78,yes,admitted
male,obc,computer applications,none,0,50.44,no,rejected
other,st,commerce,cet,160,60.83,yes,admitted
female,general,science,none,0,72.08,no,admitted
female,st,pharmacy,none,0,93.36,no,rejected
male,st,architecture,none,0,55.09,no,rejected
male,st,arts,none,0,78.32,no,admitted
female,obc,engineering,jee,142,92.03,yes,admitted
male,general,nursing,cet,176,50.79,no,rejected
female,sc,computer applications,cet,139,51.85,no,rejected
female,ews,law,none,0,69.83,yes,admitted
female,st,arts,none,0,54.59,no,rejected
female,obc,agriculture,cet,97,54.28,no,rejected
other,sc,arts,none,0,60.67,no,rejected
other,obc,science,none,0,73.88,no,admitted
male,st,commerce,cet,176,66.66,no,admitted
female,sc,pharmacy,cet,12,98.62,yes,admitted
other,sc,management,cet,35,72.37,no,rejected
other,general,commerce,cet,69,78.79,yes,admitted
male,st,science,cet,17,68.79,no,rejected
other,sc,nursing,cet,161,55.2,no,rejected
other,general,medical,neet,425,70.97,yes,admitted
female,general,pharmacy,cet,95,72.54,no,rejected
other,st,science,none,0,97.58,yes,admitted
female,st,architecture,cet,85,94.68,yes,admitted
other,sc,arts,none,0,50.44,no,rejected
other,st,engineering,jee,215,63.83,no,rejected
other,st,science,none,0,78.82,no,rejected
other,st,law,none,0,85.33,no,rejected
other,obc,medical,neet,525,72.36,no,rejected
female,sc,pharmacy,cet,75,85.6,no,rejected
female,ews,computer applications,none,0,85.94,yes,admitted
female,obc,commerce,none,0,85.54,yes,admitted
other,st,nursing,none,0,62.6,no,rejected
female,ews,management,none,0,50.45,no,rejected
male,sc,medical,neet,396,59.69,no,rejected
other,sc,law,none,0,67.58,no,rejected
other,general,pharmacy,none,0,72.4,no,admitted
other,sc,pharmacy,cet,6,54.47,no,rejected
male,general,law,none,0,84.74,no,rejected
other,general,arts,cet,155,57.18,no,rejected
other,sc,pharmacy,cet,135,64.37,no,rejected
male,obc,management,cet,55,66.14,no,rejected
male,obc,agriculture,cet,59,79.39,no,rejected
male,obc,medical,neet,51,86.7,no,rejected
other,sc,medical,neet,351,65.46,no,admitted
other,st,pharmacy,cet,172,91.9,no,rejected
female,sc,law,none,0,67.76,no,admitted
female,ews,agriculture,none,0,90.33,no,rejected
female,sc,pharmacy,none,0,57.97,no,rejected
other,ews,science,cet,182,67.94,no,rejected
male,ews,agriculture,cet,127,79.15,no,admitted
male,sc,agriculture,none,0,75.2,no,rejected
male,st,engineering,jee,66,68.07,no,rejected
other,sc,agriculture,cet,33,60.6,no,rejected
female,ews,arts,none,0,75.21,yes,admitted
other,st,science,none,0,54.62,no,rejected
other,obc,medical,neet,251,69.78,no,rejected
male,obc,engineering,jee,57,53.53,yes,admitted
other,ews,engineering,cet,31,71.64,yes,admitted
male,sc,computer applications,none,0,98.14,no,rejected
other,st,agriculture,none,0,74.27,no,rejected
other,st,nursing,none,0,79.36,no,rejected
other,general,pharmacy,none,0,75.1,no,rejected
male,obc,commerce,none,0,60.89,no,rejected
other,ews,agriculture,cet,32,55.41,no,rejected
other,obc,agriculture,none,0,66.68,yes,admitted
male,ews,arts,none,0,75.72,no,rejected
female,obc,science,none,0,84.85,no,rejected
other,ews,agriculture,cet,7,82.37,no,admitted
female,sc,arts,none,0,76.39,no,rejected
female,general,pharmacy,cet,1,67.77,no,rejected
male,obc,agriculture,cet,82,62.98,no,rejected
female,ews,medical,neet,634,87.16,yes,admitted
other,obc,commerce,none,0,94.53,yes,admitted
female,obc,science,none,0,81.59,no,admitted
other,general,computer applications,none,0,55.02,no,rejected
other,st,medical,neet,71,89.75,no,rejected
other,ews,medical,neet,585,79.51,no,rejected
female,ews,commerce,cet,59,82.69,no,rejected
other,ews,arts,cet,142,84.59,no,admitted
male,ews,management,none,0,73.11,no,rejected
female,ews,nursing,cet,169,75.51,yes,admitted
male,sc,architecture,none,0,65.6,no,rejected
other,ews,science,cet,118,81.3,no,admitted
other,st,architecture,cet,8,74.72,no,admitted
female,general,management,cet,20,67.13,no,rejected
female,general,medical,neet,455,61.52,no,rejected
female,general,nursing,none,0,81.39,no,rejected
other,obc,pharmacy,cet,112,72.43,no,rejected
male,sc,computer applications,none,0,60.18,no,rejected
other,st,engineering,cet,77,88.96,no,rejected
male,sc,nursing,none,0,77.01,no,rejected
male,obc,nursing,cet,116,81.6,no,rejected
other,st,nursing,cet,78,78.13,no,rejected
other,ews,pharmacy,cet,16,81.28,no,rejected
female,obc,medical,neet,360,54.45,no,rejected
female,obc,law,none,0,64.29,no,rejected
other,ews,architecture,cet,25,88.67,no,rejected
other,ews,law,none,0,89.91,no,rejected
other,obc,law,cet,68,52.54,no,rejected
other,sc,arts,none,0,86.65,yes,admitted
female,sc,management,cet,99,61.36,no,rejected
male,st,pharmacy,none,0,91.72,no,rejected
male,ews,management,none,0,69.36,no,rejected
female,general,engineering,cet,16,64.95,no,rejected
female,sc,science,cet,172,64.56,no,admitted
other,obc,agriculture,cet,177,84.21,no,rejected
male,st,computer applications,cet,16,84.04,no,rejected
other,sc,management,cet,38,80.04,no,admitted
other,st,arts,none,0,97.56,yes,admitted
other,ews,law,none,0,65.4,no,rejected
female,st,architecture,cet,61,80.68,no,rejected
male,ews,computer applications,none,0,72.04,no,rejected
female,ews,law,cet,136,78.36,no,admitted
female,st,agriculture,cet,7,57.33,no,rejected
female,obc,arts,none,0,95.75,yes,admitted
female,obc,commerce,none,0,93.62,yes,admitted
female,obc,management,cet,150,97.81,yes,admitted
female,st,computer applications,none,0,86.88,no,rejected
male,ews,pharmacy,cet,120,85.15,no,rejected
female,obc,nursing,none,0,52.65,no,rejected
male,sc,agriculture,cet,41,72.08,no,rejected
female,sc,science,cet,96,51.8,no,rejected
female,st,computer applications,cet,31,96.4,yes,admitted
other,ews,computer applications,none,0,79.51,no,admitted
other,sc,agriculture,none,0,53.05,no,rejected
female,obc,pharmacy,cet,55,79.93,no,rejected
male,obc,computer applications,cet,182,82.29,no,rejected
other,sc,management,cet,3,99.04,no,rejected
male,sc,nursing,cet,5,82.84,no,admitted
male,general,commerce,none,0,90.4,no,rejected
male,ews,medical,neet,350,88.78,no,rejected
other,ews,computer applications,none,0,86.08,no,rejected
female,obc,architecture,cet,87,55.41,no,rejected
male,ews,nursing,cet,159,66.72,no,rejected
male,obc,engineering,cet,13,87.67,no,rejected
female,sc,engineering,jee,164,94.67,yes,admitted
other,general,law,none,0,58.17,no,rejected
female,st,architecture,cet,85,50.44,no,rejected
male,sc,agriculture,none,0,92.53,yes,admitted
female,obc,management,cet,107,61.81,no,admitted
female,obc,management,cet,38,76.32,no,rejected
male,ews,arts,none,0,99.53,no,rejected
male,st,pharmacy,cet,185,87.32,no,rejected
male,general,medical,neet,634,58.12,no,rejected
female,general,management,cet,114,96.34,yes,admitted
male,general,medical,neet,226,60.78,no,rejected
male,obc,science,cet,57,91.3,no,rejected
male,st,medical,neet,574,50.55,no,rejected
other,general,nursing,cet,35,61.76,no,rejected
female,obc,science,none,0,55.53,no,rejected
other,general,science,none,0,77.87,no,rejected
female,st,nursing,cet,74,80.16,no,rejected
male,ews,science,cet,22,85.34,yes,admitted
male,sc,pharmacy,cet,106,64.66,no,admitted
other,ews,medical,neet,326,97.45,no,rejected
female,st,law,cet,135,50.68,no,rejected
male,st,nursing,cet,169,65.97,no,rejected
female,obc,commerce,none,0,52.93,no,rejected
female,ews,law,none,0,68.36,no,admitted
male,st,agriculture,cet,134,97.3,yes,admitted
other,general,pharmacy,cet,7,65.08,no,rejected
male,general,nursing,cet,170,65.26,no,admitted
male,ews,arts,none,0,64.65,no,rejected
other,obc,science,cet,47,91.3,yes,admitted
female,sc,engineering,jee,95,79.47,no,rejected
male,st,arts,none,0,70.84,no,rejected
male,st,engineering,jee,139,68.36,no,rejected
female,general,pharmacy,none,0,84.16,no,rejected
other,st,engineering,cet,97,99.12,yes,admitted
male,ews,medical,neet,620,72.5,no,rejected
female,obc,pharmacy,cet,167,61.24,no,rejected
female,sc,architecture,none,0,69.86,no,admitted
other,obc,science,cet,30,58.98,no,rejected
other,st,management,cet,64,83.07,no,rejected
male,general,arts,cet,101,51.1,no,admitted
female,sc,science,none,0,72.03,no,rejected
other,sc,law,none,0,51.46,no,rejected
female,st,nursing,none,0,51.73,no,rejected
male,sc,pharmacy,cet,42,68.95,no,rejected
male,ews,agriculture,cet,66,87.76,no,rejected
female,ews,agriculture,cet,55,83.39,no,rejected
other,obc,science,none,0,94.97,no,rejected
male,general,engineering,jee,94,71.42,no,rejected
male,sc,management,none,0,58.11,no,rejected
male,sc,law,none,0,53.79,no,rejected
female,st,arts,none,0,62.29,no,rejected
male,sc,medical,neet,236,75.13,no,admitted
male,sc,medical,neet,521,63.91,no,rejected
female,general,nursing,none,0,87.95,no,rejected
other,st,medical,neet,113,82.98,no,rejected
male,obc,nursing,cet,170,71.41,no,rejected
female,obc,commerce,cet,36,85.68,no,rejected
female,sc,medical,neet,625,73.05,no,admitted
other,general,pharmacy,cet,10,52.18,no,rejected
other,sc,medical,neet,634,86.87,yes,admitted
other,obc,commerce,cet,44,83.05,no,rejected
male,obc,medical,neet,7,76.07,no,rejected
other,obc,engineering,jee,272,57.31,no,rejected
male,general,medical,neet,83,75.73,no,admitted
other,ews,nursing,cet,122,63.01,no,rejected
male,obc,medical,neet,532,98.59,yes,admitted
male,ews,science,none,0,73.26,no,rejected
male,ews,medical,neet,238,89.25,no,rejected
male,sc,engineering,cet,177,78.58,yes,admitted
female,ews,medical,neet,576,91.03,yes,admitted
female,obc,medical,neet,23,73.2,no,rejected
other,general,medical,neet,431,78.86,no,rejected
male,ews,law,none,0,74.13,no,rejected
male,st,arts,none,0,97.16,yes,admitted
male,st,science,none,0,56.44,yes,admitted
male,ews,commerce,none,0,67.46,no,rejected
other,general,law,none,0,77.55,no,admitted
female,general,law,none,0,54.48,no,rejected
male,ews,medical,neet,470,92.03,yes,admitted
male,general,agriculture,cet,37,93.58,no,rejected
other,sc,arts,none,0,60.39,no,rejected
female,general,arts,none,0,97.02,no,rejected
male,obc,pharmacy,none,0,80.71,no,rejected
other,general,commerce,cet,165,79.65,yes,admitted
male,obc,architecture,cet,124,67.43,no,admitted
male,ews,agriculture,cet,114,78.48,no,admitted
other,obc,agriculture,none,0,62.9,no,rejected
female,ews,commerce,none,0,51.74,no,admitted
male,ews,medical,neet,634,86.78,yes,admitted
other,sc,medical,neet,493,97.89,yes,admitted
male,sc,science,none,0,54.47,no,rejected
other,obc,architecture,cet,15,79.8,no,admitted
female,st,law,cet,155,62.79,no,rejected
other,ews,commerce,cet,198,68.74,no,admitted
other,ews,science,none,0,64.1,no,rejected
other,general,pharmacy,cet,108,53.39,no,rejected
other,st,nursing,cet,84,99.33,no,rejected
female,general,computer applications,none,0,78.69,no,rejected
male,sc,commerce,cet,25,78.13,no,admitted
female,general,pharmacy,cet,97,78.89,yes,admitted
female,sc,pharmacy,cet,6,54.16,no,rejected
other,ews,computer applications,cet,4,69.78,no,rejected
male,ews,arts,cet,29,96.23,no,rejected
other,st,arts,none,0,77.54,no,rejected
female,sc,law,none,0,69.91,no,rejected
other,st,science,none,0,60.64,no,rejected
female,general,agriculture,none,0,62.38,no,admitted
female,st,arts,none,0,90.23,yes,admitted
male,st,agriculture,cet,52,82.01,no,rejected
other,general,arts,cet,124,66.42,no,admitted
male,st,management,cet,75,94.89,no,rejected
male,obc,management,none,0,51.0,no,rejected
female,sc,computer applications,cet,151,88.12,no,rejected
male,ews,management,none,0,76.51,no,admitted
other,obc,management,none,0,94.73,no,rejected
female,ews,commerce,cet,193,93.79,yes,admitted
male,sc,engineering,jee,242,65.96,no,rejected
male,sc,nursing,none,0,51.74,no,rejected
male,general,agriculture,cet,147,93.59,yes,admitted
female,general,commerce,none,0,91.33,yes,admitted
female,obc,engineering,cet,114,58.0,no,rejected
male,ews,nursing,none,0,76.66,no,rejected
other,obc,engineering,cet,187,68.77,yes,admitted
female,obc,engineering,jee,64,86.36,no,rejected
female,ews,nursing,none,0,93.51,no,rejected
female,obc,management,cet,146,81.23,no,admitted
female,ews,architecture,cet,177,97.48,no,rejected
male,general,architecture,cet,169,52.58,no,rejected
other,general,management,cet,58,69.86,no,rejected
male,general,architecture,cet,6,67.45,no,admitted
male,general,management,none,0,62.72,no,rejected
female,st,computer applications,cet,175,68.09,yes,admitted
other,general,science,none,0,56.36,no,rejected
other,st,architecture,none,0,75.09,no,rejected
male,sc,commerce,none,0,66.05,no,rejected
female,obc,architecture,none,0,79.48,no,admitted
female,general,science,none,0,71.32,no,rejected
male,general,agriculture,cet,172,50.44,no,rejected
other,general,commerce,none,0,76.43,no,rejected
male,sc,science,none,0,77.57,no,rejected
male,ews,medical,neet,456,92.23,no,rejected
male,sc,pharmacy,cet,162,64.45,no,rejected
other,st,arts,none,0,87.1,no,rejected
male,obc,management,none,0,93.8,yes,admitted
other,general,law,none,0,84.55,no,admitted
other,obc,commerce,none,0,55.57,no,rejected
male,sc,commerce,none,0,71.01,no,rejected
male,ews,science,none,0,70.01,no,rejected
other,obc,management,none,0,62.49,no,rejected
male,ews,medical,neet,386,66.97,no,rejected
female,st,agriculture,cet,118,85.04,no,rejected
other,obc,commerce,none,0,68.89,no,rejected
male,st,engineering,jee,74,60.04,yes,admitted
female,st,architecture,cet,140,89.89,no,rejected
female,st,management,cet,161,69.38,no,rejected
female,ews,architecture,cet,154,71.29,no,rejected
other,st,arts,none,0,54.2,no,rejected
female,general,science,none,0,89.38,no,rejected
male,obc,agriculture,cet,5,54.23,yes,admitted
other,ews,law,cet,10,78.59,no,rejected
female,obc,law,none,0,87.98,no,rejected
male,sc,science,cet,168,56.25,yes,admitted
female,sc,computer applications,none,0,65.13,no,rejected
male,sc,nursing,cet,49,99.45,yes,admitted
female,ews,architecture,cet,127,72.31,no,rejected
other,sc,management,none,0,78.94,no,admitted
male,general,management,none,0,93.2,no,rejected
other,obc,science,none,0,95.0,yes,admitted
other,st,law,none,0,67.05,no,rejected
other,st,commerce,none,0,92.12,yes,admitted
female,st,arts,none,0,66.24,no,rejected
male,st,agriculture,none,0,90.39,yes,admitted
male,obc,computer applications,cet,187,89.77,no,rejected
other,general,pharmacy,cet,103,79.02,no,admitted
female,ews,medical,neet,216,82.48,no,rejected
female,sc,arts,cet,191,78.48,no,admitted
other,st,management,none,0,55.49,no,rejected
other,ews,architecture,cet,20,71.94,no,rejected
other,general,pharmacy,none,0,56.01,no,rejected
other,ews,arts,none,0,52.69,no,rejected
other,obc,nursing,cet,96,74.64,no,rejected
male,st,agriculture,cet,136,63.23,no,rejected
male,obc,architecture,cet,5,67.51,no,rejected
male,general,agriculture,cet,75,81.35,no,rejected
female,ews,science,none,0,73.29,no,rejected
female,obc,medical,neet,65,78.34,no,rejected
other,general,management,none,0,83.66,no,rejected
other,general,management,none,0,83.47,no,admitted
other,ews,science,none,0,84.49,no,rejected
male,ews,agriculture,none,0,72.76,no,rejected
other,st,management,cet,165,85.39,no,rejected
other,st,science,none,0,63.38,no,admitted
other,st,architecture,cet,86,88.18,yes,admitted
female,ews,agriculture,cet,115,89.72,yes,admitted
other,general,computer applications,cet,189,94.83,yes,admitted
female,general,law,cet,198,97.18,yes,admitted
male,st,computer applications,none,0,76.03,yes,admitted
female,ews,commerce,none,0,76.64,no,rejected
male,sc,nursing,cet,8,68.95,no,rejected
other,ews,nursing,cet,143,88.87,no,rejected
male,sc,commerce,none,0,63.47,no,rejected
male,st,management,cet,5,81.97,no,rejected
female,sc,nursing,cet,129,78.07,no,rejected
female,ews,commerce,none,0,64.0,no,rejected
female,st,management,cet,196,62.94,no,admitted
male,sc,pharmacy,cet,98,58.04,no,admitted
female,obc,law,none,0,86.67,yes,admitted
other,obc,architecture,cet,131,91.13,no,rejected
male,general,law,none,0,59.09,no,rejected
other,general,management,none,0,95.4,yes,admitted
male,sc,nursing,none,0,60.31,no,rejected
male,general,science,none,0,55.34,no,rejected
other,sc,science,cet,12,93.9,no,rejected
male,general,architecture,cet,4,96.15,yes,admitted
female,general,nursing,none,0,58.21,no,rejected
female,st,agriculture,cet,6,58.91,no,rejected
female,general,arts,none,0,64.64,yes,admitted
female,obc,computer applications,none,0,53.02,no,rejected
female,general,agriculture,cet,124,70.97,no,rejected
other,general,commerce,none,0,85.93,no,rejected
female,obc,medical,neet,539,54.21,yes,admitted
female,general,nursing,cet,107,65.05,no,rejected
other,general,medical,neet,547,67.86,no,admitted
female,st,engineering,jee,51,97.08,no,rejected
other,general,commerce,cet,42,87.25,yes,admitted
other,ews,computer applications,cet,26,68.44,no,rejected
other,sc,management,none,0,60.32,yes,admitted
female,sc,commerce,none,0,93.46,yes,admitted
female,ews,management,none,0,64.25,no,rejected
male,st,nursing,cet,110,81.24,no,rejected
male,sc,engineering,jee,109,84.57,yes,admitted
male,ews,agriculture,cet,65,89.46,yes,admitted
female,sc,architecture,cet,125,80.88,no,rejected
male,st,agriculture,cet,146,70.09,no,admitted
male,ews,engineering,jee,153,57.44,no,rejected
female,st,commerce,none,0,59.99,no,rejected
female,sc,arts,cet,163,79.34,no,rejected
male,st,computer applications,cet,161,74.28,no,rejected
female,st,management,cet,88,69.11,no,admitted
female,ews,commerce,none,0,76.62,no,rejected
male,st,science,cet,44,92.94,yes,admitted
male,obc,law,none,0,52.12,no,rejected
male,general,medical,neet,496,56.87,yes,admitted
other,st,agriculture,cet,117,50.44,no,rejected
male,sc,computer applications,cet,72,65.99,no,rejected
male,sc,management,none,0,58.33,no,rejected
male,ews,law,none,0,63.94,no,rejected
female,general,architecture,none,0,53.77,no,rejected
other,general,commerce,none,0,67.23,no,rejected
male,st,medical,neet,634,70.0,no,admitted
other,ews,science,none,0,96.3,yes,admitted
male,ews,pharmacy,cet,104,78.55,no,rejected
female,ews,nursing,none,0,92.26,no,rejected
male,ews,medical,neet,141,81.2,yes,admitted
male,st,commerce,none,0,72.34,no,rejected
female,ews,engineering,jee,222,94.57,no,rejected
female,obc,law,none,0,88.64,no,rejected
other,st,nursing,cet,92,51.37,no,rejected
female,general,engineering,jee,36,61.01,no,admitted
male,sc,architecture,none,0,99.53,yes,admitted
female,obc,medical,neet,472,88.48,no,rejected
other,ews,engineering,cet,3,70.64,no,rejected
female,sc,pharmacy,none,0,79.58,no,admitted
female,obc,law,none,0,88.58,yes,admitted
female,sc,agriculture,none,0,69.6,no,rejected
female,general,commerce,cet,134,52.22,no,rejected
other,general,architecture,cet,129,80.87,yes,admitted
female,sc,medical,neet,487,55.82,no,admitted
female,st,pharmacy,cet,157,62.12,no,rejected
female,sc,computer applications,none,0,75.96,no,rejected
female,general,arts,none,0,89.84,no,rejected
other,st,medical,neet,23,61.23,yes,admitted
other,general,pharmacy,cet,125,59.62,no,admitted
other,ews,medical,neet,466,71.24,no,rejected
female,general,architecture,none,0,56.83,no,rejected
other,general,science,none,0,62.5,no,rejected
male,sc,architecture,none,0,65.03,no,rejected
male,ews,management,cet,36,89.03,no,rejected
male,st,nursing,cet,191,83.16,no,admitted
female,st,science,none,0,68.1,no,admitted
other,general,nursing,none,0,97.32,no,rejected
male,ews,commerce,none,0,63.8,no,rejected
male,general,medical,neet,363,75.4,yes,admitted
female,obc,agriculture,cet,143,80.96,yes,admitted
other,st,pharmacy,cet,81,97.78,yes,admitted
male,st,pharmacy,none,0,92.76,yes,admitted
other,st,commerce,none,0,68.69,no,rejected
male,st,science,cet,122,75.07,no,rejected
male,ews,engineering,cet,188,72.84,no,admitted
female,sc,agriculture,cet,1,65.25,no,rejected
other,ews,engineering,jee,207,74.05,yes,admitted
other,general,pharmacy,cet,155,54.45,no,rejected
male,general,commerce,none,0,52.73,no,rejected
male,general,agriculture,cet,103,53.45,no,rejected
female,obc,management,none,0,56.78,no,rejected
female,general,engineering,jee,250,64.2,yes,admitted
male,ews,medical,neet,286,81.97,no,rejected
female,sc,medical,neet,615,92.06,yes,admitted
male,sc,management,none,0,89.05,no,rejected
other,st,medical,neet,244,66.32,yes,admitted
male,obc,science,none,0,52.17,no,rejected
female,sc,law,none,0,52.72,no,rejected
