college,entrance_exam,minimum_eligibility,documents_required,application_mode,source
Giridih Engineering College,JEE Main / JCECE / Management Quota,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Koderma Institute of Science & Technology,JEE Main / JCECE / Management Quota,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Koyla Anchaldhan College of Engineering,JEE Main / JCECE / Management Quota,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Chhotanagpur Technical University,Jharkhand Combined Entrance Competitive Examination (JCECE),"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Santhal Pargana Engineering College,JEE Main / JCECE / Management Quota,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Steel City Technical Campus,JEE Main / JCECE / Management Quota,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Subarnarekha Institute of Technology,JEE Main / JCECE / Management Quota,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Jamshedpur Technical Institute,JEE Main / JCECE / Management Quota,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Ranchi College of Engineering & Technology,JEE Main / JCECE / Management Quota,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Netaji Subhas University Department of Engineering,JEE Main / JCECE / Management Quota,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Radha Govind University College of Engineering,JEE Main / JCECE / Management Quota,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
Usha Martin University Faculty of Engineering,JEE Main / JCECE / Management Quota,"Class 12 with PCM, minimum 75% (65% for SC/ST)","Class 10 & 12 marksheets, Admit card, Seat allotment letter, Category certificate (if applicable), Passport photo",Online,Synthetic Benchmark Corpus v1.0 (generated)
